Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-13 00:00:00-05:00,0.05448539511910526,0.06249802550296299,0.05448539511910526,0.05982673913240433,1031788800,0.0,0.0
1986-03-14 00:00:00-05:00,0.05982674112381215,0.06303216200239717,0.05982674112381215,0.0619632788002491,308160000,0.0,0.0
1986-03-17 00:00:00-05:00,0.06196327458962168,0.06356629210194817,0.06196327458962168,0.06303215771913528,133171200,0.0,0.0
1986-03-18 00:00:00-05:00,0.06303218347094702,0.06356631807198071,0.060895030702673436,0.06142916530370712,67766400,0.0,0.0
1986-03-19 00:00:00-05:00,0.06142914760017676,0.06196328204727594,0.059826744258879204,0.060360878705978394,47894400,0.0,0.0
1986-03-20 00:00:00-05:00,0.060360874387789455,0.060360874387789455,0.05822433675223963,0.05875847116112709,58435200,0.0,0.0
1986-03-21 00:00:00-05:00,0.0587584705516062,0.0598267393582996,0.056087798534872675,0.057156067341566086,59990400,0.0,0.0
1986-03-24 00:00:00-05:00,0.057156074379950954,0.057156074379950954,0.05501953650346392,0.05555367097258568,65289600,0.0,0.0
1986-03-25 00:00:00-05:00,0.055553670023862856,0.056621938943862915,0.055019535563862826,0.056621938943862915,32083200,0.0,0.0
1986-03-26 00:00:00-05:00,0.05662192488026314,0.05875846218959593,0.056087790552929936,0.058224327862262726,22752000,0.0,0.0
1986-03-27 00:00:00-05:00,0.05822433816570249,0.05929260700941086,0.05822433816570249,0.05929260700941086,16848000,0.0,0.0
1986-03-31 00:00:00-05:00,0.05929260557001455,0.05929260557001455,0.057690202343352176,0.05875847116112709,12873600,0.0,0.0
1986-04-01 00:00:00-05:00,0.05875846218959593,0.05875846218959593,0.05822432786226273,0.058224327862262726,11088000,0.0,0.0
1986-04-02 00:00:00-05:00,0.05822433675223963,0.059826739978902005,0.05822433675223963,0.05875847116112709,27014400,0.0,0.0
1986-04-03 00:00:00-05:00,0.05929260700941086,0.060895010274973405,0.05929260700941086,0.05929260700941086,23040000,0.0,0.0
1986-04-04 00:00:00-05:00,0.05929260700941086,0.05982674143126504,0.05929260700941086,0.05929260700941086,26582400,0.0,0.0
1986-04-07 00:00:00-05:00,0.05929259651692913,0.05982673084426232,0.05715605920759633,0.058224327862262726,16560000,0.0,0.0
1986-04-08 00:00:00-05:00,0.05822433675223963,0.059826739978902005,0.05822433675223963,0.05875847116112709,10252800,0.0,0.0
1986-04-09 00:00:00-05:00,0.05875847032974451,0.06036087353373423,0.05875847032974451,0.05982673913240433,12153600,0.0,0.0
1986-04-10 00:00:00-05:00,0.059826744258879204,0.060895013153077576,0.05875847536468084,0.060360878705978394,13881600,0.0,0.0
1986-04-11 00:00:00-05:00,0.060895030702673436,0.062498048869913336,0.060895030702673436,0.06142916530370712,17222400,0.0,0.0
1986-04-14 00:00:00-05:00,0.06142914438113986,0.06249802758328792,0.06142914438113986,0.0619632788002491,12153600,0.0,0.0
1986-04-15 00:00:00-05:00,0.0619632788002491,0.0619632788002491,0.05982674112381215,0.0619632788002491,9302400,0.0,0.0
1986-04-16 00:00:00-05:00,0.061963291827190174,0.06463457884826779,0.0614291572957864,0.06410044431686401,31910400,0.0,0.0
1986-04-17 00:00:00-05:00,0.064100412372318,0.0646345466375351,0.064100412372318,0.0646345466375351,22003200,0.0,0.0
1986-04-18 00:00:00-05:00,0.06463457861521436,0.06463457861521436,0.061963291603768636,0.06249804049730301,21628800,0.0,0.0
1986-04-21 00:00:00-05:00,0.06249804049730301,0.06303217502678085,0.06089502254481296,0.06249804049730301,22924800,0.0,0.0
1986-04-22 00:00:00-05:00,0.062498048869913336,0.062498048869913336,0.06142916530370712,0.06142916530370712,15552000,0.0,0.0
1986-04-23 00:00:00-05:00,0.0614291292608847,0.06196326354852135,0.06089499497324805,0.06169619411230087,15609600,0.0,0.0
1986-04-24 00:00:00-05:00,0.06169618660916991,0.06890761527143321,0.06142912179023261,0.06783934682607651,62352000,0.0,0.0
1986-04-25 00:00:00-05:00,0.06837351839712949,0.0750508164841241,0.06837351839712949,0.07211307436227798,85795200,0.0,0.0
1986-04-28 00:00:00-04:00,0.07211304980100842,0.07318131846605092,0.07157830110465718,0.07264718413352966,28886400,0.0,0.0
1986-04-29 00:00:00-04:00,0.07264720443569625,0.07264720443569625,0.06997591766273564,0.07051005214452744,30326400,0.0,0.0
1986-04-30 00:00:00-04:00,0.07051003651396215,0.07104417087734778,0.06730523033364834,0.06890763342380524,30902400,0.0,0.0
1986-05-01 00:00:00-04:00,0.06890761527143321,0.06890761527143321,0.0667710783807198,0.06783934682607651,54345600,0.0,0.0
1986-05-02 00:00:00-04:00,0.06783934682607651,0.06890761527143321,0.06730521260339815,0.06783934682607651,20246400,0.0,0.0
1986-05-05 00:00:00-04:00,0.06783937147154973,0.06783937147154973,0.06730523705482483,0.06730523705482483,3254400,0.0,0.0
1986-05-06 00:00:00-04:00,0.06783934682607651,0.06890761527143321,0.06783934682607651,0.06783934682607651,9734400,0.0,0.0
1986-05-07 00:00:00-04:00,0.06783934682607651,0.06837348104875486,0.0667710783807198,0.06783934682607651,5155200,0.0,0.0
1986-05-08 00:00:00-04:00,0.06783938170467736,0.06837351620197296,0.06730524720738178,0.06837351620197296,3542400,0.0,0.0
1986-05-09 00:00:00-04:00,0.06837348104875486,0.06837348104875486,0.06783934682607651,0.06783934682607651,6076800,0.0,0.0
1986-05-12 00:00:00-04:00,0.06783938170467736,0.06997591969385976,0.06783938170467736,0.06837351620197296,10483200,0.0,0.0
