Date,polarity
2018-12-30,0.2915583333333333
2018-12-29,-0.05963749999999999
2018-12-28,0.36494375
2018-12-26,0.15012222222222224
2018-12-27,0.12076000000000002
2018-12-25,0.04526
2018-12-24,-0.03695454545454546
2018-12-23,0.40134
2018-12-21,0.31779999999999997
2018-12-20,0.15058
2018-12-19,0.18324000000000001
2018-12-18,0.37129999999999996
2018-12-17,0.17297272727272728
2018-12-16,0.4608833333333333
2018-12-15,-0.35445
2018-12-14,-0.17861666666666667
2018-12-13,0.11685000000000001
2018-12-12,0.10248750000000001
2018-12-11,0.36035
2018-12-10,-0.07891428571428571
2018-12-09,0.11575
2018-12-08,-0.23091999999999996
2018-12-07,-0.01364000000000003
2018-12-06,-0.2802
2018-12-05,0.2967666666666667
2018-12-04,0.2432769230769231
2018-12-03,-0.017038095238095238
2018-12-02,-0.0040999999999999925
2018-12-01,0.18315000000000003
2018-11-30,0.23013750000000002
2018-11-29,0.6013666666666666
2018-11-28,0.1731705882352941
2018-11-27,0.4324
2018-11-26,0.212505
2018-11-23,-0.09169999999999999
2018-11-22,0.6275333333333334
2018-11-21,-0.07899999999999999
2018-11-20,-0.05326842105263157
2018-11-19,0.030829166666666668
2018-11-17,-0.17
2018-11-16,0.28331818181818186
2018-11-15,0.13004166666666667
2018-11-14,0.08724642857142857
2018-11-13,0.07945
2018-11-12,0.4638
2018-11-11,0.3612
2018-11-10,0.0670125
2018-11-09,0.09079999999999999
2018-11-08,0.341725
2018-11-07,0.08895
2018-11-06,0.0903
2018-11-05,0.32449230769230764
2018-11-04,0.2916666666666667
2018-11-03,0.0
2018-11-02,0.158365
2018-11-01,0.044438297872340424
2018-10-31,0.1657818181818182
2018-10-30,0.08502857142857143
2018-10-29,-0.06755714285714286
2018-10-28,0.12040000000000001
2018-10-27,0.11613750000000002
2018-10-26,0.26463000000000003
2018-10-25,-0.10499
2018-10-24,0.12856
2018-10-23,0.15011666666666665
2018-10-22,0.24485
2018-10-21,0.04235
2018-10-20,0.23819999999999997
2018-10-19,-0.05331538461538462
2018-10-18,0.7490399999999999
2018-10-17,0.5521428571428572
2018-10-16,0.2220375
2018-10-15,0.086825
2018-10-14,0.2787
2018-10-13,0.0
2018-10-12,0.10993636363636362
2018-10-11,0.23941999999999997
2018-10-10,0.12136875
2018-10-09,0.18153333333333332
2018-10-08,0.4419
2018-10-07,0.487
2018-10-06,0.1858
2018-10-05,0.27155555555555555
2018-10-04,0.17304545454545453
2018-10-03,0.38610833333333333
2018-10-02,0.12752727272727274
2018-10-01,0.34908333333333336
2018-09-30,0.5912333333333333
2018-09-29,0.0
2018-09-28,0.22920000000000004
2018-09-27,0.24739
2018-09-26,0.12784
2018-09-25,0.23082500000000003
2018-09-24,0.30144000000000004
2018-09-23,-0.008849999999999997
2018-09-22,-0.03816666666666668
2018-09-21,0.35236666666666666
2018-09-20,0.16427777777777777
2018-09-19,0.4424454545454546
2018-09-18,-0.04503636363636363
2018-09-17,-0.17182
2018-09-16,0.20046666666666668
2018-09-15,-0.19023333333333334
2018-09-14,0.2738230769230769
2018-09-13,0.23401538461538463
2018-09-12,0.08324482758620691
2018-09-11,0.29185
2018-09-10,0.1336222222222222
2018-09-09,0.16705
2018-09-08,0.2873
2018-09-07,0.23700000000000004
2018-09-06,0.3729428571428572
2018-09-05,0.39299
2018-09-04,0.2701
2018-09-03,-0.024125000000000004
2018-09-02,0.06032
2018-09-01,0.05236666666666664
2018-08-31,0.28913750000000005
2018-08-30,0.08127368421052633
2018-08-29,-0.15732
2018-08-28,0.07906666666666667
2018-08-27,0.3776333333333333
2018-08-26,0.33002000000000004
2018-08-25,0.39837500000000003
2018-08-24,0.02409999999999999
2018-08-23,0.18281999999999998
2018-08-22,0.33340000000000003
2018-08-21,0.343
2018-08-20,-0.031787499999999996
2018-08-19,0.14648333333333333
2018-08-18,-0.3391
2018-08-17,-0.02956428571428572
2018-08-16,0.29122
2018-08-15,0.17415
2018-08-14,0.19553333333333334
2018-08-13,0.45272000000000007
2018-08-12,0.1998
2018-08-11,0.2306
2018-08-10,0.06506
2018-08-09,0.35885
2018-08-08,0.24808333333333332
2018-08-07,0.15647272727272726
2018-08-06,0.17556666666666668
2018-08-04,0.26932
2018-08-03,0.17722142857142856
2018-08-02,0.21200612244897957
2018-08-01,0.25103939393939395
2018-07-31,0.05747333333333334
2018-07-30,0.36125999999999997
2018-07-29,0.7506
2018-07-28,0.28515
2018-07-27,0.18520000000000003
2018-07-26,0.05181818181818183
2018-07-25,0.2083
2018-07-24,0.296
2018-07-21,0.3612
2018-07-20,0.48813333333333336
2018-07-19,0.19584
2018-07-18,0.3584
2018-07-15,0.8065
2018-07-14,0.1992
2018-07-13,0.28165
2018-07-12,-0.06987142857142857
2018-07-11,0.0031833333333333345
2018-07-10,0.2956142857142857
2018-07-09,0.58924
2018-07-06,0.34663636363636363
2018-07-05,0.19169999999999998
2018-07-04,0.2359
2018-07-02,-0.13705
2018-06-29,0.07955999999999999
2018-06-28,0.07301666666666667
2018-06-27,0.15689999999999998
2018-06-26,-0.14152857142857142
2018-06-25,0.18243
2018-06-24,0.2423
2018-06-23,-0.02555
2018-06-22,0.004420000000000002
2018-06-21,0.052257142857142856
2018-06-20,0.3855222222222222
2018-06-19,-0.09069166666666668
2018-06-18,0.009850000000000008
2018-06-17,0.7245
2018-06-15,0.22136
2018-06-14,0.2594666666666667
2018-06-13,0.36185
2018-06-12,0.0
2018-06-11,0.0
2018-06-09,0.0
2018-06-08,-0.20476666666666665
2018-06-07,0.0
2018-06-06,0.2111444444444444
2018-06-05,0.32551
2018-06-04,0.2218181818181818
2018-06-03,0.37483333333333335
2018-06-02,0.2263
2018-06-01,0.17663846153846158
2018-05-31,0.05930000000000002
2018-05-30,0.020700000000000014
2018-05-29,0.34
2018-05-28,0.3818
2018-05-25,0.4360625
2018-05-24,0.05806249999999996
2018-05-23,0.17631428571428573
2018-05-22,0.1618375
2018-05-21,-0.023400000000000004
2018-05-20,-0.24695
2018-05-19,0.46656666666666674
2018-05-18,-0.042700000000000016
2018-05-17,0.365275
2018-05-16,0.31029999999999996
2018-05-14,0.0
2018-05-11,0.2007
2018-05-10,0.07315555555555556
2018-05-09,-0.05453333333333334
2018-05-08,0.22116666666666665
2018-05-07,0.10808999999999999
2018-05-06,0.065925
2018-05-05,0.3759666666666666
2018-05-04,0.3354115384615384
2018-05-03,0.1211625
2018-05-02,0.04608695652173913
2018-05-01,0.22859615384615387
2018-04-30,0.2853
2018-04-29,0.0
2018-04-28,0.085
2018-04-27,0.17
2018-04-26,0.16995999999999997
2018-04-25,0.3456111111111111
2018-04-24,0.15727499999999997
2018-04-23,-0.13802499999999995
2018-04-22,0.4561333333333333
2018-04-21,0.4037
2018-04-20,-0.02449375
2018-04-19,0.0172
2018-04-18,0.3182
2018-04-17,0.37191
2018-04-16,0.417
2018-04-13,0.131975
2018-04-12,-0.21670000000000003
2018-04-11,0.104375
2018-04-10,0.46318333333333334
2018-04-09,0.09106666666666667
2018-04-08,0.1779
2018-04-07,0.0920333333333333
2018-04-06,0.00012727272727274541
2018-04-05,0.26675000000000004
2018-04-04,-0.21623333333333336
2018-04-03,0.30226
2018-04-02,-0.19514166666666663
2018-04-01,0.0
2018-03-31,0.25
2018-03-27,0.0658857142857143
2018-03-26,0.44913333333333333
2018-03-25,0.0
2018-03-24,0.09083333333333336
2018-03-23,0.047000000000000014
2018-03-22,-0.03513750000000001
2018-03-21,0.10764444444444443
2018-03-20,0.12405000000000001
2018-03-19,0.0
2018-03-18,0.6249
2018-03-16,0.38182857142857146
2018-03-15,0.11078333333333333
2018-03-14,-0.06944999999999998
2018-03-13,-0.6369
2018-03-12,0.2824
